Invoice ID,Unit price,Quantity,Total Sales,Date,Time,Payment,Customer type,Gender,City,Art Key
551-21-3069,23.07,9,218.0115,2/1/2019,11:27,Cash,Normal,Female,Naypyitaw,5
212-62-1842,58.26,6,367.038,3/28/2019,16:44,Cash,Normal,Male,Yangon,24
716-39-1409,30.35,7,223.0725,3/19/2019,18:19,Cash,Normal,Male,Mandalay,4
704-48-3927,88.67,10,931.035,1/12/2019,14:50,Ewallet,Member,Male,Yangon,6
628-34-3388,27.38,6,172.494,1/5/2019,20:54,Credit card,Normal,Male,Naypyitaw,29
630-74-5166,62.13,6,391.419,3/22/2019,20:19,Cash,Normal,Male,Yangon,17
588-01-7461,33.98,9,321.111,3/24/2019,10:43,Cash,Normal,Female,Naypyitaw,27
861-77-0145,81.97,10,860.685,3/3/2019,14:30,Cash,Member,Male,Naypyitaw,8
479-26-8945,16.49,2,34.629,2/5/2019,11:32,Ewallet,Member,Female,Mandalay,19
210-67-5886,98.21,3,309.3615,2/5/2019,10:41,Credit card,Member,Female,Naypyitaw,4
227-78-1148,72.84,7,535.374,2/15/2019,12:44,Cash,Normal,Female,Mandalay,34
645-44-1170,58.07,9,548.7615,1/19/2019,20:07,Ewallet,Member,Male,Yangon,13
237-01-6122,80.79,9,763.4655,2/1/2019,20:31,Credit card,Member,Female,Naypyitaw,10
225-98-1496,27.02,3,85.113,3/2/2019,13:01,Credit card,Normal,Female,Naypyitaw,34
291-32-1427,21.94,5,115.185,3/5/2019,12:29,Ewallet,Member,Male,Mandalay,33
659-65-8956,51.36,1,53.928,1/16/2019,15:26,Ewallet,Member,Male,Mandalay,33
642-32-2990,10.96,10,115.08,2/2/2019,20:48,Ewallet,Normal,Female,Yangon,24
378-24-2715,53.44,2,112.224,1/20/2019,20:38,Ewallet,Normal,Male,Mandalay,10
638-60-7125,99.56,8,836.304,2/14/2019,17:03,Credit card,Normal,Female,Yangon,6
659-36-1684,57.12,7,419.832,1/12/2019,12:02,Credit card,Member,Male,Naypyitaw,20
219-22-9386,99.96,9,944.622,3/9/2019,17:26,Credit card,Member,Male,Mandalay,21
336-78-2147,63.91,8,536.844,3/13/2019,19:52,Credit card,Member,Male,Naypyitaw,14
268-27-6179,56.47,8,474.348,3/9/2019,14:57,Ewallet,Member,Female,Mandalay,31
668-90-8900,93.69,7,688.6215,3/10/2019,18:44,Credit card,Normal,Female,Yangon,10
870-54-3162,32.25,5,169.3125,1/27/2019,13:26,Cash,Normal,Female,Yangon,17
189-08-9157,31.73,9,299.8485,1/8/2019,16:17,Credit card,Normal,Female,Naypyitaw,34
663-86-9076,68.54,8,575.736,1/8/2019,15:57,Ewallet,Member,Female,Naypyitaw,28
549-84-7482,90.28,9,853.146,2/8/2019,11:15,Ewallet,Normal,Female,Mandalay,22
191-10-6171,39.62,7,291.207,1/25/2019,13:18,Cash,Normal,Female,Mandalay,31
802-70-5316,92.13,6,580.419,3/6/2019,20:34,Cash,Member,Female,Yangon,16
695-51-0018,34.84,4,146.328,2/10/2019,18:36,Cash,Normal,Female,Mandalay,20
590-83-4591,87.45,6,550.935,2/17/2019,14:40,Credit card,Member,Male,Mandalay,7
483-71-1164,81.3,6,512.19,3/8/2019,16:43,Ewallet,Normal,Female,Naypyitaw,1
597-78-7908,90.22,3,284.193,2/18/2019,19:39,Cash,Normal,Male,Naypyitaw,33
700-81-1757,26.31,5,138.1275,1/18/2019,20:59,Credit card,Normal,Female,Yangon,5
354-39-5160,34.42,6,216.846,2/18/2019,15:39,Cash,Member,Female,Yangon,10
241-72-9525,51.91,10,545.055,2/16/2019,12:21,Cash,Normal,Male,Mandalay,18
575-30-8091,72.5,8,609.0,3/16/2019,19:25,Ewallet,Normal,Male,Yangon,16
731-81-9469,89.8,10,942.9,1/23/2019,13:00,Credit card,Member,Female,Naypyitaw,17
280-17-4359,90.5,10,950.25,1/25/2019,13:48,Cash,Member,Male,Naypyitaw,1
338-65-2210,68.6,10,720.3,2/5/2019,19:57,Cash,Member,Female,Naypyitaw,2
488-25-4221,30.41,1,31.9305,2/22/2019,10:36,Credit card,Member,Female,Naypyitaw,26
239-10-7476,77.95,6,491.085,1/21/2019,16:37,Ewallet,Normal,Female,Yangon,13
458-41-1477,46.26,6,291.438,3/8/2019,17:11,Credit card,Normal,Female,Naypyitaw,3
685-64-1609,30.14,10,316.47,2/10/2019,12:28,Ewallet,Member,Female,Yangon,34
568-90-5112,66.14,4,277.788,3/19/2019,12:46,Credit card,Normal,Male,Naypyitaw,4
262-47-2794,71.86,8,603.624,3/6/2019,15:07,Credit card,Member,Male,Mandalay,14
238-49-0436,32.46,8,272.664,3/27/2019,13:48,Credit card,Normal,Male,Yangon,1
608-96-3517,91.54,4,384.468,3/23/2019,19:20,Credit card,Member,Female,Mandalay,33
584-86-7256,34.56,7,254.016,3/11/2019,16:07,Credit card,Member,Male,Naypyitaw,19
746-94-0204,83.24,9,786.618,1/29/2019,11:56,Credit card,Normal,Male,Yangon,33
214-17-6927,16.48,6,103.824,2/7/2019,18:23,Ewallet,Normal,Female,Naypyitaw,23
400-89-4171,80.97,8,680.148,1/28/2019,13:05,Cash,Normal,Female,Naypyitaw,22
782-95-9291,92.29,5,484.5225,2/20/2019,15:55,Credit card,Member,Male,Yangon,23
279-74-2924,72.17,1,75.7785,1/4/2019,19:40,Cash,Member,Male,Mandalay,8
307-85-2293,50.28,5,263.97,3/7/2019,13:58,Ewallet,Normal,Male,Mandalay,13
743-04-1105,97.22,9,918.729,3/30/2019,14:43,Ewallet,Member,Male,Mandalay,3
423-57-2993,93.39,6,588.357,3/27/2019,19:18,Ewallet,Normal,Male,Mandalay,21
894-41-5205,43.18,8,362.712,1/19/2019,19:39,Credit card,Normal,Female,Naypyitaw,26
275-28-0149,63.69,1,66.8745,2/25/2019,16:21,Cash,Normal,Male,Yangon,17
101-17-6199,45.79,7,336.5565,3/13/2019,19:44,Credit card,Normal,Male,Yangon,27
423-80-0988,76.4,2,160.44,1/30/2019,19:42,Ewallet,Normal,Male,Naypyitaw,22
548-46-9322,39.9,10,418.95,2/20/2019,15:24,Credit card,Normal,Male,Mandalay,26
505-02-0892,42.57,8,357.588,2/25/2019,14:12,Ewallet,Member,Male,Mandalay,1
234-65-2137,95.58,10,1003.59,1/16/2019,13:32,Cash,Normal,Male,Naypyitaw,15
687-47-8271,98.98,10,1039.29,2/8/2019,16:20,Credit card,Normal,Male,Yangon,33
796-32-9050,51.28,6,323.064,1/19/2019,16:31,Cash,Normal,Male,Yangon,23
105-31-1824,69.52,7,510.972,2/1/2019,15:10,Credit card,Member,Male,Yangon,22
249-42-3782,70.01,5,367.5525,1/3/2019,11:36,Ewallet,Normal,Male,Yangon,2
316-55-4634,80.05,5,420.2625,1/26/2019,12:45,Credit card,Member,Male,Mandalay,24
733-33-4967,20.85,8,175.14,3/3/2019,19:17,Cash,Normal,Male,Naypyitaw,5
608-27-6295,52.89,6,333.207,1/19/2019,17:34,Credit card,Member,Male,Mandalay,7
414-12-7047,19.79,8,166.236,1/18/2019,12:04,Ewallet,Normal,Male,Mandalay,23
827-26-2100,33.84,9,319.788,3/21/2019,16:21,Ewallet,Member,Male,Yangon,14
175-54-2529,22.17,8,186.228,3/3/2019,17:01,Credit card,Member,Male,Yangon,28
139-52-2867,22.51,7,165.4485,2/13/2019,10:50,Credit card,Normal,Female,Naypyitaw,29
407-63-8975,73.88,6,465.444,3/23/2019,19:16,Ewallet,Normal,Male,Yangon,23
342-65-4817,86.8,3,273.42,1/28/2019,16:47,Ewallet,Member,Male,Naypyitaw,2
130-98-8941,64.26,7,472.311,2/9/2019,10:00,Cash,Normal,Male,Naypyitaw,34
434-83-9547,38.47,8,323.148,1/23/2019,11:51,Cash,Member,Male,Naypyitaw,23
851-28-6367,15.5,10,162.75,3/23/2019,10:55,Ewallet,Member,Male,Yangon,16
824-88-3614,34.31,8,288.204,1/25/2019,15:00,Ewallet,Normal,Male,Naypyitaw,2
586-25-0848,12.34,7,90.699,3/4/2019,11:19,Credit card,Normal,Female,Yangon,20
895-66-0685,18.08,3,56.952,3/5/2019,19:46,Ewallet,Member,Male,Mandalay,28
305-14-0245,94.49,8,793.716,3/3/2019,19:00,Ewallet,Member,Female,Mandalay,13
732-04-5373,46.47,4,195.174,2/8/2019,10:53,Cash,Member,Male,Mandalay,13
400-60-7251,74.07,1,77.7735,2/10/2019,12:50,Ewallet,Normal,Male,Yangon,13
593-65-1552,69.81,4,293.202,1/28/2019,20:50,Credit card,Normal,Female,Naypyitaw,10
284-34-9626,77.04,3,242.676,2/11/2019,10:39,Credit card,Normal,Female,Mandalay,14
437-58-8131,73.52,2,154.392,1/15/2019,13:41,Ewallet,Normal,Female,Mandalay,32
286-43-6208,87.8,9,829.71,3/16/2019,19:08,Cash,Normal,Female,Naypyitaw,28
641-43-2399,25.55,4,107.31,1/26/2019,20:23,Ewallet,Normal,Male,Mandalay,15
831-07-6050,32.71,5,171.7275,3/19/2019,11:30,Credit card,Normal,Male,Yangon,8
556-86-3144,74.29,1,78.0045,1/13/2019,19:30,Cash,Member,Female,Naypyitaw,33
848-24-9445,43.7,2,91.77,3/26/2019,18:03,Cash,Member,Male,Naypyitaw,1
856-22-8149,25.29,1,26.5545,3/23/2019,10:13,Ewallet,Normal,Female,Yangon,15
699-01-4164,41.5,4,174.3,3/12/2019,19:58,Credit card,Normal,Male,Naypyitaw,4
420-11-4919,71.39,5,374.7975,2/17/2019,19:57,Credit card,Member,Female,Naypyitaw,24
606-80-4905,19.15,6,120.645,1/29/2019,10:01,Credit card,Member,Female,Naypyitaw,19
542-41-0513,57.49,4,241.458,3/15/2019,11:57,Cash,Member,Female,Mandalay,7
426-39-2418,61.41,7,451.3635,1/14/2019,10:02,Cash,Normal,Male,Naypyitaw,5
875-46-5808,25.9,10,271.95,2/6/2019,14:51,Ewallet,Member,Male,Mandalay,4
394-43-4238,17.77,5,93.2925,2/15/2019,12:42,Credit card,Member,Male,Mandalay,10
749-24-1565,23.03,9,35691.0,1/3/2019,12:02,Ewallet,Normal,Female,Yangon,1
672-51-8681,66.65,9,629.8425,1/4/2019,18:19,Credit card,Member,Female,Naypyitaw,5
263-87-5680,28.53,10,299.565,3/18/2019,17:38,Ewallet,Member,Female,Naypyitaw,9
573-58-9734,30.37,3,95.6655,3/28/2019,13:41,Ewallet,Normal,Female,Mandalay,31
817-69-8206,99.73,9,942.4485,3/2/2019,19:42,Credit card,Normal,Female,Mandalay,7
888-02-0338,26.23,9,247.8735,1/25/2019,20:24,Ewallet,Normal,Male,Yangon,8
677-11-0152,93.26,9,881.307,1/16/2019,18:08,Cash,Normal,Female,Naypyitaw,26
142-63-6033,92.36,5,484.89,3/20/2019,19:17,Ewallet,Normal,Male,Mandalay,11
656-16-1063,46.42,3,146.223,1/4/2019,13:24,Credit card,Normal,Male,Mandalay,19
891-58-8335,29.61,7,217.6335,3/11/2019,15:53,Cash,Member,Female,Mandalay,21
802-43-8934,18.28,1,19.194,3/22/2019,15:05,Credit card,Normal,Male,Yangon,14
560-30-5617,24.77,5,130.0425,3/24/2019,18:27,Cash,Normal,Female,Mandalay,22
319-74-2561,94.64,3,298.116,2/21/2019,16:55,Cash,Member,Female,Yangon,8
549-03-9315,94.87,8,796.908,2/12/2019,12:58,Ewallet,Normal,Male,Mandalay,34
790-29-1172,57.34,3,180.621,3/10/2019,18:59,Credit card,Normal,Female,Mandalay,25
239-36-3640,45.35,6,285.705,1/31/2019,13:44,Ewallet,Normal,Male,Mandalay,5
468-01-2051,62.08,7,456.288,3/6/2019,13:46,Ewallet,Normal,Male,Mandalay,23
389-25-3394,11.81,5,62.0025,2/17/2019,18:06,Cash,Normal,Male,Naypyitaw,7
279-62-1445,12.54,1,13.167,2/21/2019,12:38,Cash,Member,Female,Naypyitaw,31
213-72-6612,43.25,2,90.825,3/20/2019,15:56,Cash,Normal,Male,Yangon,26
746-68-6593,87.16,2,183.036,1/11/2019,14:29,Credit card,Member,Female,Naypyitaw,18
836-82-5858,69.37,9,655.5465,1/26/2019,19:14,Ewallet,Member,Male,Mandalay,4
583-72-1480,37.06,4,155.652,1/31/2019,16:24,Ewallet,Member,Male,Naypyitaw,7
466-61-5506,90.7,6,571.41,2/26/2019,10:52,Cash,Member,Female,Mandalay,6
721-86-6247,63.42,8,532.728,3/11/2019,12:55,Ewallet,Normal,Female,Yangon,12
289-65-5721,81.37,2,170.877,1/26/2019,19:28,Cash,Normal,Female,Mandalay,30
545-46-3100,10.59,3,33.3585,3/12/2019,13:52,Credit card,Member,Female,Mandalay,6
418-02-5978,84.09,9,794.6505,2/11/2019,10:54,Cash,Normal,Female,Mandalay,3
269-04-5750,73.82,4,310.044,2/21/2019,18:31,Cash,Member,Male,Mandalay,32
157-13-5295,51.94,10,545.37,3/9/2019,18:24,Ewallet,Member,Male,Yangon,4
645-78-8093,93.14,2,195.594,1/20/2019,18:09,Ewallet,Normal,Female,Yangon,17
211-30-9270,17.41,5,91.4025,1/28/2019,15:16,Credit card,Normal,Male,Naypyitaw,2
755-12-3214,44.22,5,232.155,3/5/2019,17:07,Credit card,Member,Female,Naypyitaw,31
346-84-3103,13.22,5,69.405,3/2/2019,19:26,Cash,Member,Female,Mandalay,7
478-06-7835,89.69,1,94.1745,1/11/2019,11:20,Ewallet,Normal,Male,Yangon,32
540-11-4336,24.94,9,235.683,1/11/2019,16:49,Credit card,Normal,Male,Yangon,27
448-81-5016,59.77,2,125.517,3/11/2019,12:01,Credit card,Normal,Male,Yangon,4
142-72-4741,93.2,2,195.72,2/28/2019,18:37,Credit card,Member,Male,Naypyitaw,31
217-58-1179,62.65,4,263.13,1/5/2019,11:25,Cash,Member,Male,Yangon,14
376-02-8238,93.87,8,788.508,2/2/2019,18:42,Credit card,Normal,Male,Mandalay,11
530-90-9855,47.59,8,399.756,1/1/2019,14:47,Cash,Member,Male,Yangon,10
866-05-7563,81.4,3,256.41,2/9/2019,19:43,Cash,Member,Female,Mandalay,7
604-70-6476,17.94,5,94.185,1/23/2019,14:04,Ewallet,Member,Male,Yangon,33
799-71-1548,77.72,4,326.424,1/7/2019,16:11,Credit card,Member,Male,Yangon,7
785-13-7708,73.06,7,536.991,1/14/2019,19:06,Credit card,Normal,Male,Mandalay,24
845-51-0542,46.55,9,439.8975,2/2/2019,15:34,Ewallet,Member,Male,Mandalay,27
662-47-5456,35.19,10,369.495,3/17/2019,19:06,Credit card,Member,Male,Naypyitaw,32
883-17-4236,14.39,2,30.219,3/2/2019,19:44,Credit card,Normal,Female,Naypyitaw,20
290-68-2984,23.75,4,99.75,3/16/2019,11:22,Cash,Normal,Male,Yangon,14
704-11-6354,58.9,8,494.76,1/6/2019,11:23,Cash,Member,Male,Yangon,15
110-48-7033,32.62,4,137.004,1/29/2019,14:12,Cash,Member,Male,Mandalay,34
366-93-0948,66.35,1,69.6675,1/31/2019,10:46,Credit card,Member,Male,Yangon,7
729-09-9681,25.91,6,163.233,2/5/2019,10:16,Ewallet,Member,Male,Yangon,10
151-16-1484,32.25,4,135.45,2/13/2019,12:38,Ewallet,Member,Male,Yangon,5
380-94-4661,65.94,4,276.948,2/7/2019,13:05,Credit card,Member,Male,Naypyitaw,7
850-41-9669,75.06,9,709.317,3/19/2019,13:25,Ewallet,Normal,Female,Yangon,8
821-07-3596,16.45,4,69.09,3/7/2019,14:53,Ewallet,Normal,Female,Naypyitaw,29
655-85-5130,38.3,4,160.86,3/13/2019,19:22,Cash,Member,Female,Mandalay,31
447-15-7839,22.24,10,233.52,2/9/2019,11:00,Cash,Member,Female,Yangon,19
154-74-7179,54.45,1,57.1725,2/26/2019,19:24,Ewallet,Normal,Male,Mandalay,22
253-12-6086,98.4,7,723.24,3/12/2019,12:43,Credit card,Member,Female,Yangon,19
808-65-0703,35.47,4,148.974,3/14/2019,17:22,Credit card,Normal,Male,Naypyitaw,14
571-94-0759,74.6,10,783.3,1/8/2019,20:55,Cash,Member,Female,Mandalay,27
144-51-6085,70.74,4,297.108,1/5/2019,16:05,Credit card,Member,Male,Yangon,15
731-14-2199,35.54,10,373.17,1/4/2019,13:34,Ewallet,Member,Female,Yangon,12
783-09-1637,67.43,5,354.0075,3/6/2019,18:13,Ewallet,Normal,Female,Mandalay,22
687-15-1097,21.12,2,44.352,1/3/2019,19:17,Cash,Member,Female,Naypyitaw,2
126-54-1082,21.54,9,203.553,1/7/2019,11:44,Credit card,Member,Female,Yangon,12
633-91-1052,12.03,2,25.263,1/27/2019,15:51,Cash,Normal,Female,Yangon,11
477-24-6490,99.71,6,628.173,2/26/2019,16:52,Ewallet,Normal,Female,Mandalay,2
566-19-5475,47.97,7,352.5795,1/7/2019,20:52,Cash,Normal,Male,Mandalay,31
526-86-8552,21.82,10,229.11,1/7/2019,17:36,Cash,Member,Female,Naypyitaw,15
376-56-3573,95.42,4,400.764,2/2/2019,13:23,Ewallet,Normal,Female,Naypyitaw,34
537-72-0426,70.99,10,745.395,3/20/2019,16:28,Cash,Member,Male,Naypyitaw,32
828-61-5674,44.02,10,462.21,3/20/2019,19:57,Credit card,Member,Male,Yangon,19
136-08-6195,69.96,8,587.664,2/15/2019,17:01,Credit card,Normal,Female,Yangon,12
523-38-0215,37.0,1,38.85,3/6/2019,13:29,Credit card,Normal,Male,Naypyitaw,11
490-29-1201,15.34,1,16.107,1/6/2019,11:09,Cash,Normal,Female,Yangon,20
667-92-0055,99.83,6,628.929,3/4/2019,15:02,Ewallet,Member,Male,Yangon,4
565-17-3836,47.67,4,200.214,3/12/2019,14:21,Cash,Member,Female,Yangon,4
498-41-1961,66.68,5,350.07,2/20/2019,18:01,Cash,Normal,Male,Mandalay,3
593-95-4461,74.86,1,78.603,3/24/2019,14:49,Cash,Member,Male,Naypyitaw,12
226-71-3580,23.75,9,224.4375,1/31/2019,12:02,Cash,Normal,Female,Naypyitaw,20
