Invoice ID,Rating
186-09-3669,9.2
848-07-1692,8.3
745-71-3520,8.2
266-76-6436,7.5
740-22-2500,9.8
271-88-8734,8.7
301-81-8610,6.7
489-64-4354,5.0
198-84-7132,7.0
269-10-8440,8.9
650-98-6268,8.0
741-73-3559,6.9
325-77-6186,7.3
286-75-7818,6.9
574-57-9721,5.7
459-50-7686,6.4
616-87-0016,9.6
837-55-7229,6.8
751-69-0068,9.0
257-73-1380,9.6
345-08-4992,7.7
549-96-4200,7.0
810-60-6344,6.5
450-28-2866,8.1
394-30-3170,4.3
138-17-5109,6.5
192-98-7397,9.5
301-11-9629,9.7
390-80-5128,9.5
235-46-8343,8.9
453-12-7053,6.5
296-11-7041,5.3
449-27-2918,9.6
891-01-7034,6.7
744-09-5786,7.6
727-17-0390,4.8
568-88-3448,5.5
187-83-5490,4.7
767-54-1907,6.9
710-46-4433,4.5
533-33-5337,6.2
325-90-8763,7.6
729-46-7422,7.9
639-76-1242,4.5
234-03-4040,8.7
326-71-2155,6.1
320-32-8842,6.4
470-32-9057,9.1
878-30-2331,7.1
440-59-5691,7.7
554-53-3790,4.5
746-19-0921,7.2
233-34-0817,8.4
767-05-1286,5.4
340-21-9136,9.7
405-31-3305,5.5
731-59-7531,4.6
676-39-6028,6.6
502-05-1910,6.3
485-30-8700,4.2
598-47-9715,4.4
701-69-8742,6.7
575-67-1508,6.7
541-08-3113,8.4
246-11-3901,6.2
674-15-9296,5.0
305-18-3552,6.0
493-65-6248,7.0
438-01-4015,6.6
709-58-4068,7.3
795-49-7276,8.3
556-72-8512,4.3
627-95-3243,9.8
686-41-0932,8.2
510-09-5628,7.2
608-04-3797,8.7
148-82-2527,8.4
437-53-3084,7.1
632-32-4574,5.5
556-97-7101,8.5
862-59-8517,6.2
401-18-8016,8.9
420-18-8989,9.6
277-63-2961,5.4
573-98-8548,9.1
620-02-2046,9.0
282-35-2475,6.3
511-54-3087,9.5
726-29-6793,9.8
387-49-4215,6.7
862-17-9201,7.7
291-21-5991,7.0
602-80-9671,5.1
347-72-6115,6.2
209-61-0206,6.1
595-27-4851,9.3
189-52-0236,7.6
503-07-0930,8.2
413-20-6708,8.5
425-85-2085,9.8
521-18-7827,8.7
220-28-1851,9.7
600-38-9738,4.3
734-91-1155,7.7
451-28-5717,7.3
609-81-8548,5.9
133-14-7229,5.0
534-01-4457,8.0
719-89-8991,7.1
286-62-6248,9.0
339-38-9982,6.7
827-44-5872,6.1
827-77-7633,9.3
287-83-1405,7.0
435-13-4908,7.2
857-67-9057,8.2
236-27-1144,8.4
892-05-6689,6.2
583-41-4548,7.4
339-12-4827,5.0
643-38-7867,6.9
308-81-0538,4.9
358-88-9262,5.1
460-35-4390,9.1
343-87-0864,7.1
173-50-1108,5.0
243-47-2663,5.5
841-18-8232,9.2
701-23-5550,4.9
647-50-1224,8.9
541-48-8554,6.0
539-21-7227,4.2
213-32-1216,7.3
747-58-7183,6.5
582-52-8065,8.9
210-57-1719,9.7
399-69-4630,8.6
134-75-2619,6.9
356-44-8813,7.7
198-66-9832,9.5
283-26-5248,4.5
712-39-0363,5.6
218-59-9410,8.2
174-75-0888,7.3
866-99-7614,4.4
134-54-4720,5.7
760-90-2357,5.0
514-37-2845,9.0
698-98-5964,6.3
718-57-9773,9.4
651-88-7328,7.7
241-11-2261,5.5
408-26-9866,4.1
834-83-1826,7.6
343-61-3544,8.6
239-48-4278,8.3
355-34-6244,8.1
550-84-8664,8.6
339-96-8318,6.3
458-61-0011,5.8
592-34-6155,6.2
797-88-0493,7.7
207-73-1363,8.1
390-31-6381,7.3
443-82-0585,8.4
339-18-7061,8.0
359-90-3665,9.5
375-72-3056,7.0
127-47-6963,9.8
278-86-2735,9.2
695-28-6250,7.7
379-17-6588,5.3
227-50-3718,4.4
302-15-2162,4.3
788-07-8452,9.4
560-49-6611,9.8
880-35-0356,4.8
585-11-6748,5.3
470-31-3286,8.7
152-68-2907,9.5
123-35-4896,5.3
258-69-7810,9.2
334-64-2006,9.6
219-61-4139,6.4
881-41-7302,4.5
373-09-4567,6.9
642-30-6693,7.8
484-22-8230,4.5
830-58-2383,8.6
559-98-9873,5.2
544-32-5024,6.4
318-12-0304,5.2
349-97-8902,8.9
421-95-9805,6.2
277-35-5865,6.7
789-23-8625,7.2
284-54-4231,9.0
443-59-0061,4.2
509-29-3912,4.2
327-40-9673,6.9
840-19-2096,4.4
828-46-6863,4.0
641-96-3695,8.5
420-97-3340,9.2
436-54-4512,9.8
670-79-6321,4.9
852-62-7105,4.4
598-06-7312,6.8
135-13-8269,9.1
816-57-2053,8.7
628-90-8624,5.0
856-66-2701,7.5
308-39-1707,8.2
149-61-1929,6.7
655-07-2265,5.4
589-02-8023,7.0
420-04-7590,4.7
182-88-2763,5.0
188-55-0967,5.0
610-46-4100,6.0
318-81-2368,6.3
364-33-8584,8.5
665-63-9737,7.5
695-09-5146,6.4
155-45-3814,4.7
794-32-2436,6.0
131-15-8856,4.0
273-84-2164,5.5
706-36-6154,8.7
778-89-7974,7.4
574-31-8277,5.6
859-71-0933,6.3
740-11-5257,7.1
369-82-2676,7.8
563-47-4072,9.9
742-04-5161,7.3
149-15-7606,5.1
133-77-3154,9.4
169-52-4504,5.8
250-81-7186,8.0
562-12-5430,7.9
816-72-8853,5.9
491-38-3499,4.9
322-02-2271,9.3
842-29-4695,7.9
725-67-2480,5.9
641-51-2661,9.9
714-02-3114,7.7
518-17-2983,7.6
779-42-2410,7.7
190-14-3147,6.4
408-66-6712,4.4
679-22-6530,4.1
588-47-8641,4.4
642-61-4706,5.5
576-31-4774,4.0
556-41-6224,9.3
811-03-8790,4.8
242-11-3142,4.6
752-23-3760,7.3
274-05-5470,6.0
648-94-3045,8.1
130-67-4723,9.4
528-87-5606,6.5
320-85-2052,7.0
370-96-0655,7.1
105-10-6182,6.6
510-79-0415,4.9
241-96-5076,6.4
767-97-4650,8.0
648-83-1321,4.3
173-57-2300,6.1
305-03-2383,7.5
394-55-6384,6.7
266-20-6657,5.2
689-05-1884,8.8
196-01-2849,9.5
372-62-5264,7.6
800-09-8606,6.6
182-52-7000,6.9
826-58-8051,4.3
868-06-0466,7.8
751-41-9720,8.0
626-43-7888,9.6
176-64-7711,4.3
191-29-0321,5.0
729-06-2010,9.2
640-48-5028,6.3
186-79-9562,8.9
834-45-5519,7.6
162-65-8559,4.8
760-27-5490,9.1
445-30-9252,6.1
786-94-2700,9.1
728-88-7867,8.3
183-21-3799,7.2
268-20-3585,6.0
735-32-9839,8.5
258-92-7466,6.6
857-16-3520,4.5
482-17-1179,8.1
788-21-5741,7.2
821-14-9046,6.1
418-05-0656,7.1
678-79-0726,5.1
776-68-1096,7.9
592-46-1692,7.4
434-35-9162,7.4
149-14-0304,6.6
442-44-6497,5.9
174-64-0215,8.9
210-74-9613,6.8
299-29-0180,9.3
247-11-2470,4.4
635-28-5728,4.8
756-49-0168,9.5
438-23-1242,8.9
238-45-6950,6.4
607-65-2441,6.0
386-27-7606,8.1
137-63-5492,9.0
197-77-7132,6.0
805-86-0265,9.8
733-29-1227,8.5
451-73-2711,8.8
373-14-0504,8.8
546-80-2899,9.5
345-68-9016,5.6
390-17-5806,8.6
457-13-1708,5.2
664-14-2882,5.8
487-79-6868,8.0
314-23-4520,9.0
210-30-7976,4.1
585-86-8361,8.6
807-14-7833,7.0
775-72-1988,8.4
288-38-3758,7.4
652-43-6591,6.2
785-96-0615,4.9
406-46-7107,4.5
250-17-5703,5.6
156-95-3964,8.0
842-40-8179,5.6
525-09-8450,4.2
410-67-1709,9.9
587-73-4862,7.6
787-87-2010,6.6
593-14-4239,4.7
801-88-0346,9.8
388-76-2555,6.3
711-31-1234,7.9
886-54-6089,7.7
707-32-7409,4.5
759-98-4285,8.0
201-63-8275,5.7
471-06-8611,6.3
200-16-5952,6.0
120-54-2248,8.0
102-77-2261,4.2
875-31-8302,9.6
102-06-2002,6.1
457-94-0464,5.6
629-42-4133,8.3
534-53-3526,7.8
307-04-2070,4.1
468-99-7231,8.8
516-77-6464,4.1
404-91-5964,9.0
886-77-9084,5.5
790-38-4466,9.3
704-10-4056,5.6
497-37-6538,9.7
651-96-5970,4.0
400-80-4065,9.2
744-16-7898,4.9
263-12-5321,9.3
702-72-0487,6.6
605-83-1050,4.3
443-60-9639,5.5
864-24-7918,8.1
359-94-5395,9.8
401-09-4232,9.4
751-15-6198,7.9
324-41-6833,5.1
474-33-8305,6.9
759-29-9521,8.0
831-81-6575,8.0
220-68-6701,4.2
618-34-8551,8.5
257-60-7754,9.0
559-61-5987,8.6
189-55-2313,6.0
565-91-4567,6.2
380-60-5336,5.0
815-04-6282,6.5
674-56-6360,6.0
778-34-2523,5.0
499-27-7781,5.0
477-59-2456,9.2
832-51-6761,9.6
869-11-3082,8.4
190-59-3964,6.0
366-43-6862,6.7
186-43-8965,4.1
784-21-9238,5.9
276-75-6884,8.7
109-86-4363,4.5
569-76-2760,6.6
222-42-0244,7.7
760-53-9233,8.5
538-22-0304,5.2
416-17-9926,4.3
237-44-6163,7.6
636-17-0325,9.5
343-75-9322,4.1
528-14-9470,9.2
427-45-9297,5.4
807-34-3742,5.8
288-62-1085,5.6
670-71-7306,5.1
660-29-7083,5.8
271-77-8740,5.0
497-36-0989,7.9
291-59-1384,6.0
860-73-6466,5.0
549-23-9016,8.9
896-34-0956,5.9
804-38-3935,5.9
585-90-0249,9.7
862-29-5914,8.6
845-94-6841,4.0
125-45-2293,4.2
843-73-4724,9.2
409-33-9708,9.2
658-66-3967,5.0
866-70-2814,10.0
160-22-2687,8.8
895-03-6665,4.2
770-42-8960,6.3
748-45-2862,8.2
234-36-2483,5.1
316-66-3011,5.0
848-95-6252,7.0
840-76-5966,7.8
152-03-4217,4.3
533-66-5566,7.0
124-31-1458,6.6
176-78-1170,7.3
361-59-0574,6.5
101-81-4070,4.9
631-34-1880,4.3
852-82-2749,9.3
873-14-6353,7.1
584-66-4073,9.6
544-55-9589,6.2
166-19-2553,9.9
737-88-5876,5.9
154-87-7367,6.3
885-56-0389,4.0
608-05-3804,6.1
448-61-3783,4.5
761-49-0439,8.6
490-95-0021,6.0
115-38-7388,9.5
311-13-6971,9.9
291-55-6563,7.5
548-48-3156,7.6
460-93-5834,5.0
325-89-4209,6.7
884-80-6021,9.5
137-74-8729,6.8
880-46-5796,5.6
389-70-2397,7.2
114-35-5271,8.1
607-76-6216,8.6
715-20-1673,9.4
811-35-1094,8.9
699-88-1972,4.2
781-84-8059,5.0
409-49-6995,8.8
725-54-0677,5.3
146-09-5432,4.6
377-79-7592,7.5
509-10-0516,5.1
595-94-9924,4.2
865-41-9075,8.1
545-07-8534,6.0
118-62-1812,7.9
450-42-3339,8.8
851-98-3555,6.6
186-71-5196,6.2
624-01-8356,4.2
313-66-9943,7.3
151-27-8496,8.6
453-33-6436,6.8
522-57-8364,7.6
459-45-2396,5.8
717-96-4189,4.1
722-13-2115,9.3
749-81-8133,6.8
777-67-2495,8.7
636-98-3364,6.3
246-55-6923,5.1
181-82-6255,7.0
838-02-1821,5.2
887-42-0517,6.6
457-12-0244,6.5
226-34-0034,9.0
321-49-7382,5.2
397-25-8725,6.8
431-66-2305,7.6
825-94-5922,7.2
641-62-7288,7.1
756-93-1854,9.5
243-55-8457,5.1
458-10-8612,7.6
501-61-1753,9.8
235-06-8510,5.1
433-08-7822,7.5
361-85-2571,7.4
131-70-8179,4.2
500-02-2261,5.9
720-72-2436,6.9
702-83-5291,6.6
809-69-9497,5.7
449-16-6770,5.3
333-23-2632,4.2
489-82-1237,7.3
859-97-6048,5.3
676-10-2200,4.7
373-88-1424,7.9
365-16-4334,8.9
503-21-4385,9.3
305-89-2768,4.7
574-80-1489,8.7
784-08-0310,7.6
200-40-6154,5.7
846-10-0341,6.8
577-34-7579,5.4
430-02-3888,7.1
867-47-1948,7.8
384-59-6655,8.4
256-58-3609,9.8
324-92-3863,9.8
593-08-5916,7.4
364-34-2972,6.7
794-42-3736,6.4
172-42-8274,5.8
558-60-5016,7.2
195-06-0432,9.3
605-03-2706,9.5
214-30-2776,9.0
746-04-1077,9.0
448-34-8700,6.7
452-04-8808,5.5
531-56-4728,5.4
744-82-9138,8.2
883-69-1285,7.0
221-25-5073,8.5
518-71-6847,4.9
156-20-0370,5.1
151-33-7434,6.5
728-47-9078,9.8
809-46-1866,8.4
139-32-4183,7.4
148-41-7930,6.1
189-40-5216,6.0
374-38-5555,8.5
764-44-8999,4.3
552-44-5977,6.2
267-62-7380,4.3
430-53-4718,8.4
886-18-2897,4.5
602-16-6955,6.0
745-74-0715,8.8
690-01-6631,6.6
652-49-6720,5.9
233-67-5758,6.2
303-96-2227,4.4
727-02-1313,7.7
347-56-2442,4.1
849-09-3807,6.6
