Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Oman,Eastern Mediterranean,304308,5959.081,103,2.017,9,4111,80.503,0,0,0
Bahrain,Eastern Mediterranean,276917,16274.158,282,16.573,43,1393,81.865,0,0,0
Bosnia and Herzegovina,Europe,255054,7774.105,4889,149.018,706,11654,355.217,231,7.041,47
Kenya,Africa,253409,471.272,570,1.06,70,5282,9.823,19,0.035,1
Qatar,Eastern Mediterranean,239508,8313.21,766,26.588,134,611,21.208,2,0.069,0
Latvia,Europe,224513,11768.933,15730,824.564,2718,3354,175.816,248,13,45
Nigeria,Africa,212150,102.916,820,0.398,99,2899,1.406,15,0.007,1
Zambia,Africa,209760,1140.995,112,0.609,21,3661,19.914,1,0.005,0
Norway,Europe,208605,3886.388,5299,98.722,0,902,16.805,2,0.037,0
Algeria,Africa,206649,471.252,659,1.503,83,5927,13.516,28,0.064,3
Singapore,Western Pacific,204340,3492.787,25245,431.513,3496,430,7.35,91,1.555,9
North Macedonia,Europe,203298,9758.085,2886,138.525,593,7159,343.624,76,3.648,14
Estonia,Europe,199251,14992.822,12721,957.203,2300,1563,117.609,80,6.02,13
Botswana,Africa,187281,7963.891,1296,55.111,0,2407,102.355,5,0.213,0
Uzbekistan,Europe,186793,558.104,2230,6.663,272,1329,3.971,17,0.051,2
Albania,Europe,186222,6470.985,3612,125.513,725,2937,102.057,49,1.703,6
Puerto Rico,Americas,184881,6462.443,659,23.035,15,3234,113.043,11,0.385,0
Kyrgyzstan,Europe,181499,2781.939,634,9.718,74,2676,41.017,15,0.23,2
Australia,Western Pacific,173165,679.082,11246,44.102,1170,1756,6.886,103,0.404,13
Finland,Europe,160948,2912.932,4204,76.086,1150,1173,21.23,0,0,0
Kosovo[1],Europe,160745,8951.832,130,7.24,21,2967,165.231,2,0.111,0
Afghanistan,Eastern Mediterranean,156307,401.525,236,0.606,23,7281,18.704,19,0.049,0
Mozambique,Africa,151316,484.127,73,0.234,14,1932,6.181,3,0.01,1
Montenegro,Europe,145292,23133.385,3475,553.289,622,2107,335.476,36,5.732,4
Zimbabwe,Africa,133047,895.16,323,2.173,40,4683,31.508,9,0.061,4
Ghana,Africa,130287,419.294,279,0.898,210,1182,3.804,8,0.026,7
Namibia,Africa,128938,5074.491,79,3.109,11,3554,139.871,4,0.157,0
Uganda,Africa,126320,276.164,459,1.003,48,3219,7.037,15,0.033,2
China,Western Pacific,126270,8.582,584,0.04,115,5696,0.387,0,0,0
Cyprus,Europe,124973,14073.457,1265,142.454,249,575,64.752,5,0.563,1
Cambodia,Western Pacific,118702,709.984,702,4.199,89,2800,16.747,49,0.293,6
El Salvador,Americas,113422,1748.665,0,0,0,3647,56.227,61,0.94,9
Cameroon,Africa,104348,393.086,4059,15.291,1849,1731,6.521,131,0.493,45
Rwanda,Africa,99765,770.254,293,2.262,38,1332,10.284,11,0.085,0
Jamaica,Americas,89170,3011.313,690,23.302,47,2246,75.848,62,2.094,3
Maldives,South-East Asia,88058,16290.626,699,129.314,0,243,44.955,1,0.185,0
Luxembourg,Europe,82092,13111.476,968,154.606,11,848,135.44,6,0.958,2
Senegal,Africa,73922,441.485,25,0.149,2,1878,11.216,0,0,0
Angola,Africa,64487,196.21,454,1.381,29,1713,5.212,11,0.033,0
Malawi,Africa,61802,323.064,36,0.188,2,2302,12.033,6,0.031,0
Côte d’Ivoire,Africa,61319,232.46,98,0.372,8,696,2.639,5,0.019,0
Democratic Republic of the Congo,Africa,57582,64.293,112,0.125,17,1098,1.226,7,0.008,0
Trinidad and Tobago,Americas,57419,4102.858,1621,115.828,90,1709,122.116,59,4.216,13
Réunion,Africa,54668,6106.028,0,0,0,374,41.773,0,0,0
Guadeloupe,Americas,54288,13567.794,0,0,0,815,203.687,0,0,0
Fiji,Western Pacific,52180,5820.77,117,13.052,0,674,75.186,1,0.112,0
Suriname,Americas,49119,8373.052,785,133.815,100,1094,186.488,30,5.114,1
Eswatini,Africa,46438,4002.71,48,4.137,8,1242,107.054,0,0,0
French Polynesia,Western Pacific,45541,16212.069,35,12.46,0,636,226.409,1,0.356,0
French Guiana,Americas,44784,14993.873,437,146.309,155,311,104.124,9,3.013,3
Syrian Arab Republic,Eastern Mediterranean,43931,251.025,1855,10.6,265,2584,14.765,58,0.331,8
Madagascar,Africa,43632,157.567,6,0.022,0,964,3.481,1,0.004,0
Martinique,Americas,43347,11551.037,325,86.605,0,683,182.005,8,2.132,0
Lao People's Democratic Republic,Western Pacific,41829,574.925,4811,66.125,873,70,0.962,14,0.192,3
Sudan,Eastern Mediterranean,40433,92.209,0,0,0,2995,6.83,0,0,0
Cabo Verde,Africa,38219,6874.082,68,12.231,1,349,62.771,0,0,0
Malta,Europe,37704,7327.368,122,23.709,29,462,89.785,2,0.389,1
Mauritania,Africa,37368,803.672,336,7.226,0,797,17.141,5,0.108,0
Gabon,Africa,35841,1610.3,943,42.368,316,244,10.963,14,0.629,5
Guyana,Americas,35657,4533.33,553,70.307,36,925,117.602,28,3.56,5
Guinea,Africa,30672,233.553,30,0.228,5,385,2.932,0,0,0
Papua New Guinea,Western Pacific,30511,341.018,2024,22.622,476,392,4.381,57,0.637,7
Belize,Americas,27149,6827.738,1268,318.891,351,495,124.488,19,4.778,4
United Republic of Tanzania,Africa,26154,43.784,0,0,0,725,1.214,0,0,0
Togo,Africa,26086,315.097,75,0.906,7,242,2.923,0,0,0
Benin,Africa,24804,204.599,55,0.454,55,161,1.328,0,0,0
Haiti,Americas,24004,210.515,231,2.026,44,677,5.937,15,0.132,6
Bahamas,Americas,22429,5703.584,150,38.144,22,643,163.512,1,0.254,0
Seychelles,Africa,22301,22675.831,127,129.135,21,114,115.916,0,0,0
Somalia,Eastern Mediterranean,21998,138.411,0,0,0,1208,7.601,0,0,0
Lesotho,Africa,21640,1010.153,42,1.961,5,658,30.715,1,0.047,0
Mayotte,Africa,20612,7555.303,115,42.153,25,185,67.812,3,1.1,0
Burundi,Africa,20106,169.089,118,0.992,19,14,0.118,0,0,0
Timor-Leste,South-East Asia,19790,1501.011,5,0.379,0,122,9.253,1,0.076,0
Mauritius,Africa,18205,1431.472,789,62.04,104,196,15.412,36,2.831,2
Barbados,Americas,18023,6271.596,2435,847.325,260,156,54.284,17,5.916,3
Congo,Africa,17670,320.22,802,14.534,0,278,5.038,29,0.526,0
Tajikistan,Europe,17486,183.337,0,0,0,125,1.311,0,0,0
Curaçao,Americas,17091,10415.435,79,48.143,38,174,106.037,1,0.609,0
Mali,Africa,16149,79.745,269,1.328,50,568,2.805,9,0.044,3
Aruba,Americas,15931,14921.417,116,108.649,49,171,160.163,0,0,0
Andorra,Europe,15516,20081.538,91,117.776,0,130,168.252,0,0,0
Burkina Faso,Africa,15103,72.252,310,1.483,310,221,1.057,7,0.033,7
Guam,Western Pacific,14722,8722.856,203,120.278,0,242,143.386,12,7.11,0
Iceland,Europe,13829,3797.778,517,141.981,0,34,9.337,1,0.275,1
Djibouti,Eastern Mediterranean,13486,1364.98,25,2.53,4,182,18.421,1,0.101,1
Equatorial Guinea,Africa,13377,953.467,141,10.05,9,167,11.903,4,0.285,0
Brunei Darussalam,Western Pacific,13321,3044.946,726,165.951,75,54,12.343,1,0.229,0
Nicaragua,Americas,13047,196.949,181,2.732,181,209,3.155,1,0.015,1
Saint Lucia,Americas,12586,6854.112,153,83.321,13,258,140.502,8,4.357,3
South Sudan,Africa,12436,111.098,109,0.974,15,133,1.188,0,0,0
Central African Republic,Africa,11579,239.742,61,1.263,0,100,2.07,0,0,0
Jersey,Europe,11153,10346.395,353,327.47,0,80,74.214,0,0,0
New Caledonia,Western Pacific,11052,3871.13,365,127.847,67,267,93.521,6,2.102,1
Gambia,Africa,9973,412.676,11,0.455,0,341,14.11,1,0.041,0
Yemen,Eastern Mediterranean,9806,32.877,95,0.319,7,1894,6.35,36,0.121,4
Isle of Man,Europe,9738,11452.159,411,483.347,0,57,67.034,0,0,0
United States Virgin Islands,Americas,7206,6900.646,61,58.415,2,81,77.568,1,0.958,0
Eritrea,Africa,6860,193.434,62,1.748,21,45,1.269,0,0,0
New Zealand,Western Pacific,6471,134.191,932,19.327,110,28,0.581,0,0,0
Niger,Africa,6399,26.435,139,0.574,33,216,0.892,8,0.033,3
Sierra Leone,Africa,6398,80.206,1,0.013,0,121,1.517,0,0,0
Guinea-Bissau,Africa,6137,311.839,4,0.203,3,141,7.165,0,0,0
Gibraltar,Europe,6029,17894.987,125,371.019,37,98,290.879,0,0,0
Grenada,Americas,5850,5198.937,32,28.439,10,198,175.964,2,1.777,0
Liberia,Africa,5815,114.974,3,0.059,0,287,5.675,0,0,0
Bermuda,Americas,5657,9084.194,32,51.387,10,104,167.007,6,9.635,3
San Marino,Europe,5547,16344.511,13,38.305,0,92,271.083,0,0,0
Chad,Africa,5107,31.091,38,0.231,0,175,1.065,1,0.006,0
Saint Vincent and the Grenadines,Americas,4995,4502.434,135,121.687,0,68,61.294,5,4.507,0
Dominica,Americas,4783,6643.886,124,172.244,0,32,44.45,2,2.778,0
Sint Maarten,Americas,4498,10489.25,18,41.976,10,75,174.899,0,0,0
Comoros,Africa,4272,491.26,39,4.485,0,147,16.904,0,0,0
Antigua and Barbuda,Americas,4069,4155.051,38,38.804,7,102,104.157,3,3.063,0
Saint Martin,Americas,3920,10139.942,0,0,0,37,95.709,0,0,0
Sao Tome and Principe,Africa,3715,1695.116,10,4.563,1,56,25.552,0,0,0
Liechtenstein,Europe,3699,9546.546,45,116.138,0,58,149.689,0,0,0
Monaco,Europe,3418,8709.612,19,48.415,2,36,91.734,0,0,0
Turks and Caicos Islands,Americas,2982,7701.844,26,67.152,0,23,59.404,0,0,0
British Virgin Islands,Americas,2725,9012.137,0,0,0,37,122.367,0,0,0
Saint Kitts and Nevis,Americas,2675,5028.952,38,71.439,6,25,47,4,7.52,2
Bhutan,South-East Asia,2622,339.81,2,0.259,1,3,0.389,0,0,0
Bonaire,Americas,2405,11498.924,54,258.188,33,19,90.844,0,0,0
Faroe Islands,Europe,2288,4682.288,510,1043.692,76,3,6.139,1,2.046,0
Guernsey,Europe,2170,3366.011,115,178.383,0,23,35.677,1,1.551,0
Saint Barthélemy,Americas,1659,16783.005,0,0,0,4,40.465,0,0,0
Cayman Islands,Americas,1650,2510.651,371,564.516,0,2,3.043,0,0,0
Anguilla,Americas,944,6292.494,85,566.591,0,1,6.666,0,0,0
Greenland,Europe,823,1449.658,51,89.833,13,0,0,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,329,571.607,38,66.022,11,3,5.212,0,0,0
Falkland Islands (Malvinas),Americas,69,1981.051,0,0,0,0,0,0,0,0
Montserrat,Americas,41,820.164,0,0,0,1,20.004,0,0,0
Saint Pierre and Miquelon,Americas,32,552.2,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,28,892.004,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.912,0,0,0,0,0,0,0,0
Saba,Americas,11,569.064,0,0,0,0,0,0,0,0
Palau,Western Pacific,8,44.218,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,5,1.628,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,4,7.247,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.504,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,1,0.946,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
