,AAPL,TSLA,NVDA,IBM
2021-01-19,127.83,844.55,521.01,129.02
2021-01-15,127.14,826.16,514.38,128.39
2021-01-14,128.91,845.0,528.01,128.97
2021-01-13,130.89,854.41,541.27,126.92
2021-01-12,128.8,849.44,539.39,129.21
2021-01-11,128.98,811.19,544.86,128.58
2021-01-08,132.05,880.02,531.07,128.53
2021-01-07,130.92,816.04,533.76,128.99
2021-01-06,126.6,755.98,504.58,129.29
2021-01-05,131.01,735.11,536.19,126.14
2021-01-04,129.41,729.77,524.54,123.94
2020-12-31,132.69,705.67,522.2,125.88
2020-12-30,133.72,694.78,525.83,124.34
2020-12-29,134.87,665.99,517.73,123.8
2020-12-28,136.69,663.69,516.0,124.82
2020-12-24,131.97,661.77,519.75,124.69
2020-12-23,130.96,645.98,520.37,123.9
2020-12-22,131.88,640.34,531.13,123.61
2020-12-21,128.23,649.86,533.29,123.39
2020-12-18,126.655,695.0,530.88,125.85
2020-12-17,128.7,655.9,533.65,125.55
2020-12-16,127.81,622.77,529.7,125.55
2020-12-15,127.88,633.25,534.42,125.93
2020-12-14,121.78,639.83,532.35,123.53
2020-12-11,122.41,609.99,520.53,124.27
2020-12-10,123.24,627.07,518.89,124.96
2020-12-09,121.78,604.48,517.23,126.79
2020-12-08,124.38,649.88,534.0,125.71
2020-12-07,123.75,641.76,544.27,124.7
2020-12-04,122.25,599.04,542.33,127.2
2020-12-03,122.94,593.38,535.84,123.61
2020-12-02,123.08,568.82,541.78,124.62
2020-12-01,122.72,584.76,535.6,123.16
2020-11-30,119.05,567.6,536.06,123.52
2020-11-27,116.59,585.76,530.45,124.35
2020-11-25,116.03,574.0,529.39,124.2
2020-11-24,115.17,555.38,518.31,124.42
2020-11-23,113.85,521.85,525.6,120.09
2020-11-20,117.34,489.61,523.51,116.94
2020-11-19,118.64,499.27,537.61,117.18
2020-11-18,118.03,486.64,537.15,116.77
2020-11-17,119.39,441.61,536.89,117.7
2020-11-16,120.3,408.09,540.61,118.36
2020-11-13,119.26,408.5,531.88,116.85
2020-11-12,119.21,411.76,538.27,114.5
2020-11-11,119.49,417.13,536.72,117.2
2020-11-10,115.97,410.36,510.8,117.91
2020-11-09,116.32,421.26,545.23,115.53
2020-11-06,118.69,429.95,582.48,114.04
2020-11-05,119.03,438.09,566.4,114.77
2020-11-04,114.95,420.98,551.77,111.9
2020-11-03,110.44,423.9,520.78,114.16
2020-11-02,108.77,400.51,503.23,112.91
2020-10-30,108.86,388.04,501.36,111.66
2020-10-29,115.32,410.83,520.96,108.91
2020-10-28,111.2,406.02,505.08,106.65
2020-10-27,116.6,424.68,535.87,110.56
2020-10-26,115.05,420.28,525.65,112.22
2020-10-23,115.04,420.63,543.61,116.0
2020-10-22,115.75,425.79,534.44,115.76
2020-10-21,116.87,422.64,540.99,115.06
2020-10-20,117.51,421.94,545.82,117.37
2020-10-19,115.98,430.83,539.91,125.52
2020-10-16,119.02,439.67,552.46,125.93
2020-10-15,120.71,448.88,558.8,124.89
2020-10-14,121.19,461.3,563.81,125.94
2020-10-13,121.1,446.65,569.93,125.1
2020-10-12,124.4,442.3,569.04,127.21
2020-10-09,116.97,434.0,550.51,127.79
2020-10-08,114.97,425.92,553.55,131.49
2020-10-07,115.08,425.3,558.56,124.07
2020-10-06,113.16,413.98,549.46,121.97
2020-10-05,116.5,425.68,545.7,122.01
2020-10-02,113.02,415.09,522.49,120.57
2020-10-01,116.79,448.16,544.58,121.09
2020-09-30,115.81,429.01,541.22,121.67
2020-09-29,114.09,419.07,529.03,120.94
2020-09-28,114.96,421.2,521.4,121.73
2020-09-25,112.28,407.34,514.95,118.95
2020-09-24,108.22,387.79,493.92,118.09
2020-09-23,107.12,380.36,484.95,118.83
2020-09-22,111.81,424.23,505.51,120.51
2020-09-21,110.08,449.39,500.69,120.25
2020-09-18,106.84,442.15,487.57,122.76
2020-09-17,110.34,423.43,498.54,124.92
2020-09-16,112.13,441.76,500.58,124.22
2020-09-15,115.54,449.76,519.64,122.44
2020-09-14,115.355,419.62,514.89,122.09
2020-09-11,112.0,372.72,486.58,121.46
2020-09-10,113.49,371.34,492.47,120.56
2020-09-09,117.32,366.28,508.6,122.26
2020-09-08,112.82,330.21,476.52,121.21
2020-09-04,120.96,418.32,504.9,122.3
2020-09-03,120.88,407.0,520.62,124.45
2020-09-02,131.4,447.37,573.86,128.18
2020-09-01,134.18,475.05,552.84,123.4
2020-08-31,129.04,498.32,534.98,123.31
2020-08-28,499.23,2213.4,525.91,125.07
2020-08-27,500.04,2238.75,505.13,124.65
2020-08-26,506.09,2153.17,510.92,124.17
2020-08-25,499.3,2023.34,510.0,124.64
2020-08-24,503.43,2014.2,508.81,125.68
2020-08-21,497.48,2049.98,507.34,123.16
2020-08-20,473.1,2001.83,485.64,123.15
2020-08-19,462.83,1878.53,485.54,123.84
2020-08-18,462.25,1887.09,490.43,124.92
2020-08-17,458.43,1835.64,493.48,124.44
2020-08-14,459.63,1650.71,462.56,125.27
2020-08-13,460.04,1621.0,457.72,125.03
2020-08-12,452.04,1554.76,457.61,126.7
2020-08-11,437.5,1374.39,434.0,126.75
2020-08-10,450.91,1418.57,446.6,127.11
2020-08-07,444.45,1452.71,447.98,124.96
2020-08-06,455.61,1489.58,453.42,126.12
2020-08-05,440.25,1485.02,451.47,125.45
2020-08-04,438.66,1487.0,449.11,125.84
2020-08-03,435.75,1485.0,440.41,124.31
2020-07-31,425.04,1430.76,424.59,122.94
2020-07-30,384.76,1487.49,424.56,122.9
2020-07-29,380.16,1499.11,418.62,125.32
2020-07-28,373.01,1476.49,408.62,124.47
2020-07-27,379.24,1539.6,416.86,126.21
2020-07-24,370.46,1417.0,407.78,125.79
2020-07-23,371.38,1513.07,405.19,127.33
2020-07-22,389.09,1592.33,417.55,128.67
2020-07-21,388.0,1568.36,413.14,126.06
2020-07-20,393.43,1643.0,420.43,126.37
2020-07-17,385.31,1500.84,408.06,125.11
2020-07-16,386.09,1500.64,405.39,124.01
2020-07-15,390.9,1546.01,409.09,123.0
2020-07-14,388.23,1516.8,415.08,120.6
2020-07-13,381.91,1497.06,402.09,119.2
2020-07-10,383.68,1544.65,419.17,118.35
2020-07-09,383.01,1394.28,420.36,115.71
2020-07-08,381.37,1365.88,408.64,117.71
2020-07-07,372.69,1389.86,394.87,117.58
2020-07-06,373.85,1371.58,393.57,120.19
2020-07-02,364.11,1208.66,384.49,119.7
2020-07-01,364.11,1119.63,381.2,118.54
2020-06-30,364.8,1079.81,379.91,120.77
2020-06-29,361.78,1009.35,368.0,119.75
2020-06-26,353.63,959.74,366.2,117.19
2020-06-25,364.84,985.98,379.6,119.03
2020-06-24,360.06,960.85,369.42,116.42
2020-06-23,366.53,1001.78,378.0,119.41
2020-06-22,358.87,994.32,381.07,121.07
2020-06-19,349.72,1000.9,370.45,122.47
2020-06-18,351.73,1003.96,368.72,124.16
2020-06-17,351.59,991.79,369.44,124.15
2020-06-16,352.08,982.13,362.74,125.15
2020-06-15,342.99,990.9,366.95,121.65
2020-06-12,338.8,935.28,357.3,121.91
2020-06-11,335.9,972.84,351.85,118.01
2020-06-10,352.84,1025.05,374.67,129.87
2020-06-09,343.99,940.67,361.84,131.87
2020-06-08,333.46,949.92,352.2,135.75
2020-06-05,331.5,885.66,356.8,132.06
2020-06-04,322.32,864.38,350.66,128.89
2020-06-03,325.12,882.96,350.78,129.05
2020-06-02,323.34,881.56,353.01,126.0
2020-06-01,321.85,898.1,352.25,124.89
2020-05-29,317.94,835.0,355.02,124.9
2020-05-28,318.25,805.81,339.48,124.53
2020-05-27,318.11,820.23,341.01,125.54
2020-05-26,316.73,818.87,348.71,121.76
2020-05-22,318.89,816.88,361.05,118.39
2020-05-21,316.85,827.6,351.01,119.12
2020-05-20,319.23,815.56,358.8,121.38
2020-05-19,313.14,808.01,352.22,120.29
2020-05-18,314.96,813.63,350.01,121.56
2020-05-15,307.71,799.17,339.63,116.98
2020-05-14,309.54,803.33,321.22,116.95
2020-05-13,307.65,790.96,311.2,115.73
2020-05-12,311.41,809.41,312.1,120.26
2020-05-11,315.01,811.29,322.62,122.59
2020-05-08,310.13,819.42,312.5,122.99
2020-05-07,303.74,780.04,304.87,121.23
2020-05-06,300.63,782.58,297.79,123.17
2020-05-05,297.56,768.21,293.74,122.58
2020-05-04,293.16,761.19,291.29,121.68
2020-05-01,289.07,701.32,282.78,121.87
2020-04-30,293.8,781.88,292.28,125.56
2020-04-29,287.73,800.51,298.46,128.69
2020-04-28,278.58,769.12,291.36,126.27
2020-04-27,283.17,798.75,297.08,125.92
2020-04-24,282.97,725.15,289.59,124.72
2020-04-23,275.03,705.63,284.01,121.35
2020-04-22,276.1,732.11,286.15,119.31
2020-04-21,268.37,686.72,269.51,116.76
2020-04-20,276.93,746.36,287.05,120.41
2020-04-17,282.8,753.89,292.32,120.12
2020-04-16,286.69,745.21,294.7,115.73
2020-04-15,284.43,729.83,280.84,118.69
2020-04-14,287.05,709.89,283.95,123.91
2020-04-13,273.25,650.95,269.85,121.15
2020-04-09,267.99,573.0,262.95,121.5
2020-04-08,266.07,548.84,266.95,119.29
2020-04-07,259.43,545.45,259.03,114.94
2020-04-06,262.47,516.24,268.4,114.82
2020-04-03,241.41,480.01,243.91,106.34
2020-04-02,244.93,454.47,255.47,110.0
2020-04-01,240.91,481.56,243.07,105.14
2020-03-31,254.29,524.0,263.6,110.93
2020-03-30,254.81,502.13,265.59,112.93
2020-03-27,247.74,514.36,252.73,108.03
2020-03-26,258.44,528.16,257.24,112.89
2020-03-25,245.52,539.25,245.62,105.85
2020-03-24,246.88,505.0,249.18,105.48
2020-03-23,224.37,434.29,212.69,94.77
2020-03-20,229.24,427.53,205.75,95.39
2020-03-19,244.78,427.64,212.97,100.34
2020-03-18,246.67,361.22,202.82,103.55
2020-03-17,252.86,430.2,217.27,106.65
2020-03-16,242.21,445.07,196.4,99.08
2020-03-13,277.97,546.62,240.84,107.95
2020-03-12,248.23,560.55,216.31,102.81
2020-03-11,275.43,634.23,246.47,117.97
2020-03-10,285.34,645.33,261.08,124.77
2020-03-09,266.17,608.0,245.44,117.81
2020-03-06,289.03,703.48,266.04,127.73
2020-03-05,292.92,724.54,273.29,129.55
2020-03-04,302.74,749.5,284.51,134.22
2020-03-03,289.32,745.51,265.89,128.9
2020-03-02,298.81,743.62,276.43,134.3
2020-02-28,273.36,667.99,270.07,130.15
2020-02-27,273.52,679.0,252.6,133.11
2020-02-26,292.65,778.8,267.65,139.75
2020-02-25,288.08,799.91,262.05,141.71
2020-02-24,298.18,833.79,273.28,146.43
2020-02-21,313.05,901.0,294.07,149.84
2020-02-20,320.3,899.41,308.7,151.22
2020-02-19,323.62,917.42,314.7,150.86
2020-02-18,319.0,858.4,296.57,151.1
2020-02-14,324.95,800.03,289.79,150.7
2020-02-13,324.87,804.0,270.78,154.31
2020-02-12,327.2,767.29,272.54,155.31
2020-02-11,319.61,774.38,267.89,153.48
2020-02-10,321.55,771.28,262.97,154.43
2020-02-07,320.03,748.07,251.59,153.41
2020-02-06,325.21,748.96,254.25,156.76
2020-02-05,321.45,734.7,250.76,156.33
2020-02-04,318.85,887.06,247.13,149.11
2020-02-03,308.66,780.0,240.33,146.27
2020-01-31,309.51,650.57,236.43,143.73
2020-01-30,323.87,640.81,245.81,136.77
2020-01-29,324.34,580.99,245.54,137.69
2020-01-28,317.69,566.9,247.97,139.55
2020-01-27,308.95,558.02,240.2,138.62
2020-01-24,318.31,564.82,250.48,140.56
2020-01-23,319.23,572.2,252.86,142.87
2020-01-22,317.7,569.56,250.11,143.89
2020-01-21,316.57,547.2,247.94,139.17
2020-01-17,318.73,510.5,249.28,138.31
2020-01-16,315.24,513.49,248.93,137.98
2020-01-15,311.34,518.5,245.57,136.62
2020-01-14,312.68,537.92,247.28,135.82
2020-01-13,316.96,524.86,251.98,136.6
2020-01-10,310.33,478.15,244.32,136.69
2020-01-09,309.63,481.34,243.02,136.74
2020-01-08,303.19,492.14,240.38,135.31
2020-01-07,298.39,469.06,239.93,134.19
2020-01-06,299.8,451.54,237.06,134.1
2020-01-03,297.43,443.01,236.07,134.34
2020-01-02,300.35,430.26,239.91,135.42
2019-12-31,293.65,418.33,235.3,134.04
2019-12-30,291.52,414.7,232.32,132.81
2019-12-27,289.8,430.38,236.87,135.27
2019-12-26,289.91,430.94,239.19,134.91
2019-12-24,284.27,425.25,238.62,134.98
2019-12-23,284.0,419.22,238.82,135.55
2019-12-20,279.44,405.59,239.37,135.59
2019-12-19,280.02,404.04,235.46,134.56
2019-12-18,279.74,393.15,229.51,134.41
2019-12-17,280.41,378.99,228.29,134.22
2019-12-16,279.86,381.5,225.15,134.13
2019-12-13,275.15,358.39,223.99,134.21
2019-12-12,271.46,359.68,224.07,135.32
2019-12-11,270.77,352.7,217.34,133.76
2019-12-10,268.48,348.84,213.98,133.91
2019-12-09,266.92,339.53,212.17,133.92
2019-12-06,270.71,335.89,212.17,133.22
2019-12-05,265.58,330.37,208.74,131.91
2019-12-04,261.74,333.03,209.42,131.99
2019-12-03,259.45,336.2,207.66,132.12
2019-12-02,264.16,334.87,209.25,132.91
2019-11-29,267.25,329.94,216.74,134.45
2019-11-27,267.84,331.29,218.24,133.77
2019-11-26,264.29,328.92,217.0,135.09
2019-11-25,266.37,336.34,221.21,135.97
2019-11-22,261.78,333.04,210.89,134.34
2019-11-21,262.01,354.83,210.18,133.84
2019-11-20,263.19,352.22,211.18,133.2
2019-11-19,266.29,359.52,207.99,134.52
2019-11-18,267.1,349.99,212.28,134.31
2019-11-15,265.76,352.17,204.19,134.4
2019-11-14,262.64,349.35,209.79,134.0
2019-11-13,264.47,346.11,208.57,134.48
2019-11-12,261.96,349.93,209.61,135.59
2019-11-11,262.2,345.09,208.18,135.47
2019-11-08,260.14,337.14,207.78,137.61
2019-11-07,259.43,335.54,208.34,137.69
2019-11-06,257.24,326.58,207.63,138.78
2019-11-05,257.13,317.22,209.61,137.89
2019-11-04,257.5,317.47,210.5,137.67
2019-11-01,255.82,313.31,202.59,135.53
2019-10-31,248.76,314.92,201.02,133.73
2019-10-30,243.26,315.01,203.0,135.25
2019-10-29,243.29,316.22,202.92,133.82
2019-10-28,249.05,327.71,206.79,135.97
2019-10-25,246.58,328.13,204.54,135.44
2019-10-24,243.58,299.68,196.86,134.07
2019-10-23,243.18,254.68,195.09,134.38
2019-10-22,239.96,255.58,195.61,133.96
2019-10-21,240.51,253.5,196.01,132.58
2019-10-18,236.41,256.95,190.49,134.09
2019-10-17,235.28,261.97,194.29,134.26
2019-10-16,234.37,259.75,194.21,142.11
2019-10-15,235.32,257.89,196.37,143.0
2019-10-14,235.87,256.96,186.53,142.04
2019-10-11,236.21,247.89,185.99,142.76
2019-10-10,230.09,244.74,183.03,141.13
2019-10-09,227.03,244.53,180.71,139.67
2019-10-08,224.4,240.05,177.23,138.38
2019-10-07,227.06,237.72,184.33,141.28
2019-10-04,227.01,231.43,181.97,142.99
2019-10-03,220.82,233.03,181.31,142.02
2019-10-02,218.96,243.13,173.04,141.69
2019-10-01,224.59,244.69,174.0,143.66
2019-09-30,223.97,240.87,174.07,145.42
2019-09-27,218.82,242.13,171.76,143.24
2019-09-26,219.89,242.56,177.34,143.55
2019-09-25,221.03,228.7,178.23,143.16
2019-09-24,217.68,223.21,172.53,141.68
2019-09-23,218.72,241.23,174.84,142.07
2019-09-20,217.73,240.62,172.69,141.88
2019-09-19,220.96,246.6,176.94,142.97
2019-09-18,222.77,243.49,179.98,142.22
2019-09-17,220.7,244.79,181.07,142.2
2019-09-16,219.9,242.81,180.21,142.48
2019-09-13,218.75,245.2,181.94,143.67
2019-09-12,223.09,245.87,184.27,143.62
2019-09-11,223.59,247.1,184.33,143.6
2019-09-10,216.7,235.54,183.18,145.05
2019-09-09,214.17,231.79,180.5,142.6
2019-09-06,213.26,227.45,178.65,140.57
2019-09-05,213.28,229.58,179.74,140.97
2019-09-04,209.19,220.68,168.76,136.32
2019-09-03,205.7,225.01,164.17,134.1
2019-08-30,208.74,225.61,167.51,135.53
2019-08-29,209.01,221.71,167.0,134.88
2019-08-28,205.53,215.59,161.22,132.76
2019-08-27,204.16,214.08,161.8,131.17
2019-08-26,206.49,215.0,165.45,129.99
2019-08-23,202.64,211.4,162.44,129.57
2019-08-22,212.46,222.15,171.48,134.32
2019-08-21,212.64,220.83,171.23,134.25
2019-08-20,210.36,225.86,167.87,133.0
2019-08-19,210.35,226.83,170.78,135.04
2019-08-16,206.5,219.94,159.56,133.76
2019-08-15,201.74,215.64,148.77,131.92
2019-08-14,202.75,219.62,150.07,131.25
2019-08-13,208.97,235.0,156.05,135.79
2019-08-12,200.48,229.01,151.45,134.12
2019-08-09,200.99,235.01,154.18,136.13
2019-08-08,203.43,238.3,158.26,140.1
2019-08-07,199.04,233.42,153.89,139.11
2019-08-06,197.0,230.75,152.35,140.73
2019-08-05,193.34,228.32,150.79,140.76
2019-08-02,204.02,234.34,161.19,147.25
2019-08-01,208.43,233.85,164.92,150.32
2019-07-31,213.04,241.61,168.72,148.24
2019-07-30,208.78,242.26,175.45,149.77
2019-07-29,209.68,235.77,174.82,150.88
2019-07-26,207.74,228.04,175.07,151.36
2019-07-25,207.02,228.82,173.38,150.39
2019-07-24,208.67,264.88,178.66,150.03
2019-07-23,208.84,260.17,175.66,150.38
2019-07-22,207.22,255.68,171.32,149.74
2019-07-19,202.59,258.18,168.44,149.68
2019-07-18,205.66,253.54,170.18,149.63
2019-07-17,203.35,254.86,169.71,143.07
2019-07-16,204.5,252.38,167.08,143.53
2019-07-15,205.21,253.5,167.27,143.32
2019-07-12,203.3,245.08,167.61,142.74
2019-07-11,201.75,238.6,166.28,141.24
2019-07-10,203.23,238.92,160.06,140.47
2019-07-09,201.24,230.06,157.31,139.33
2019-07-08,200.02,230.34,157.21,140.57
2019-07-05,204.23,233.1,160.23,141.38
2019-07-03,204.41,234.9,162.75,141.54
2019-07-02,202.73,224.55,162.23,140.22
2019-07-01,201.55,227.17,166.17,139.88
2019-06-28,197.92,223.46,164.23,137.9
2019-06-27,199.74,222.84,163.23,138.52
2019-06-26,199.8,219.27,159.26,138.52
2019-06-25,195.57,219.76,151.48,138.36
2019-06-24,198.58,223.64,152.66,139.35
2019-06-21,198.78,221.86,151.76,139.2
2019-06-20,199.46,219.62,154.1,138.85
2019-06-19,197.87,226.43,153.12,137.08
2019-06-18,198.45,224.74,152.88,136.38
2019-06-17,193.89,225.03,145.03,134.95
2019-06-14,192.74,214.92,144.64,135.15
2019-06-13,194.15,213.91,148.26,135.76
2019-06-12,194.19,209.26,146.2,134.87
2019-06-11,194.81,217.1,150.75,135.95
